Reference, Value, Footprint, Datasheet
"R42","10R 0,5 W","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~"
"R33","82R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R49","10R 2W","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal","~"
"R38","680R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R43","10R 0,5W","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~"
"C21","CP","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn","~"
"R41","10R 0,5W","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~"
"R39","680R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C19","10n/50V film","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C20","10n/50V film","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C9","47p","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"R20","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R45","0,33R 5W","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal","~"
"R40","680R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"D12","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"D11","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"C22","CP","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn","~"
"R51","82R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C1","390pF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"D16","20V/0,5W","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"D15","20V/0,5W","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"C13","100u/63V","Capacitor_THT:CP_Radial_D12.5mm_P7.50mm","~"
"D6","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"Q17","MJE15031","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.onsemi.com/pub_link/Collateral/MPSA92-D.PDF"
"R46","0,33R 5W","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal","~"
"R47","0,33R 5W","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal","~"
"R44","10R 0,5W","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~"
"R48","0,33R 5W","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal","~"
"R17","11k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C24","100n/100V film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4","~"
"C23","100n/100V film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4","~"
"C25","CP","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn","~"
"C26","CP","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn","~"
"RV1","2k","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~"
"F1","Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm","~"
"F2","Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm","~"
"C6","100n/100V film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4","~"
"C27","100n/100V film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4","~"
"J3","Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
"Q5","BC546","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
"Q1","BC546","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
"Q2","BC546","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
"Q3","BC556","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC557.pdf"
"Q4","BC556","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC557.pdf"
"Q6","BC556","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC557.pdf"
"Q9","BC546","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
"Q13","BF469","Package_TO_SOT_THT:TO-126-3_Vertical","https://www.pcpaudio.com/pcpfiles/transistores/BF457-8-9.pdf"
"Q8","BC556","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC557.pdf"
"Q12","BF470","Package_TO_SOT_THT:TO-126-3_Vertical","http://pdf.datasheetcatalog.com/datasheet/sanyo/ds_pdf_e/2SB631.pdf"
"T1","MJL3281","Package_TO_SOT_THT:TO-264-3_Horizontal_TabDown","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"T3","MJL3281","Package_TO_SOT_THT:TO-264-3_Horizontal_TabDown","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"T2","MJL3201","Package_TO_SOT_THT:TO-264-3_Horizontal_TabDown","http://www.onsemi.com/pub_link/Collateral/MPSA92-D.PDF"
"T4","MJL3201","Package_TO_SOT_THT:TO-264-3_Horizontal_TabDown","http://www.onsemi.com/pub_link/Collateral/MPSA92-D.PDF"
"J1","Conn_01x12_Female","LeachAmp_library:Wago-256-406","~"
"J2","Conn_01x04_Female","LeachAmp_library:Wago-256-402","~"
"J4","Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
